date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests
12/02/2020,,,,,,
26/02/2020,1,1,,,,
27/02/2020,1,0,,,,
28/02/2020,6,5,,,,
29/02/2020,15,9,,,,
01/03/2020,19,4,,,,
02/03/2020,25,6,,,,
03/03/2020,32,7,,,,
04/03/2020,56,24,,,,
05/03/2020,87,31,,,,
06/03/2020,108,21,,,,
07/03/2020,147,39,,,,
08/03/2020,176,29,,,,
09/03/2020,205,29,,,,
10/03/2020,400,195,,,,
11/03/2020,598,198,,,,
12/03/2020,702,104,,,,
13/03/2020,996,294,,,,
14/03/2020,1090,94,3,3,,
15/03/2020,1221,131,3,0,,
16/03/2020,1333,112,3,0,,
17/03/2020,1463,130,3,0,,
18/03/2020,1550,87,6,3,,
19/03/2020,1746,196,7,1,,
20/03/2020,1914,168,7,0,,
21/03/2020,2118,204,7,0,,
22/03/2020,2385,267,7,0,,
23/03/2020,2621,236,10,3,,
24/03/2020,2863,242,12,2,,
25/03/2020,3084,221,14,2,,
26/03/2020,3369,285,14,0,,
27/03/2020,3755,386,19,5,,
28/03/2020,4015,260,23,4,,
29/03/2020,4284,269,25,2,,
30/03/2020,4445,161,32,7,,
31/03/2020,4641,196,39,7,,
01/04/2020,4863,222,44,5,3934,3934
02/04/2020,5147,284,50,6,3559,7493
03/04/2020,5370,223,59,9,3558,11051
04/04/2020,5550,180,62,3,1389,12440
05/04/2020,5687,137,71,9,1120,13560
06/04/2020,5865,178,76,5,3528,17088
07/04/2020,6086,221,89,13,2977,20065
08/04/2020,6086,0,101,12,2268,22333
09/04/2020,6211,125,108,7,1332,23665
10/04/2020,6314,103,113,5,1363,25028
11/04/2020,6409,95,119,6,1424,26452
12/04/2020,6525,116,128,9,1248,27700
13/04/2020,6603,78,134,6,1320,29020
14/04/2020,6623,20,139,5,3365,32385
15/04/2020,6740,117,150,11,3433,35818
16/04/2020,6896,156,152,2,3110,38928
17/04/2020,6937,41,161,9,3131,42059
18/04/2020,7036,99,164,3,1176,43235
19/04/2020,7078,42,165,1,1144,44379
20/04/2020,7156,78,181,16,3775,48154
21/04/2020,7191,35,182,1,3585,51739
22/04/2020,7338,147,187,5,3347,55086
23/04/2020,7401,63,194,7,2971,58057
24/04/2020,7463,62,199,5,3285,61342
25/04/2020,7499,36,201,2,1134,62476
26/04/2020,7527,28,201,0,976,63452
27/04/2020,7599,72,205,4,4104,67556
28/04/2020,7660,61,206,1,4115,71671
29/04/2020,7710,50,207,1,3957,75628
30/04/2020,7738,28,210,3,4439,80067
01/05/2020,7783,45,210,0,1510,81577
02/05/2020,7809,26,211,1,1554,83131
03/05/2020,7847,38,211,0,1264,84395
04/05/2020,7904,57,214,3,4732,89127
05/05/2020,7955,51,215,1,4318,93445
06/05/2020,7996,41,216,1,4285,97730
07/05/2020,8034,38,217,1,3751,101481
08/05/2020,8070,36,218,1,3804,105285
09/05/2020,8099,29,219,1,1304,106589
10/05/2020,8105,6,219,0,1005,107594
11/05/2020,8132,27,224,5,4405,111999
12/05/2020,8157,25,228,4,4799,116798
13/05/2020,8175,18,229,1,4472,121270
14/05/2020,8196,21,232,3,4207,125477
15/05/2020,8219,23,232,0,4179,129656
16/05/2020,8237,18,232,0,1314,130970
17/05/2020,8249,12,232,0,668,131638
18/05/2020,8257,8,233,1,4413,136051
19/05/2020,8267,10,233,0,4664,140715
20/05/2020,8281,14,234,1,3955,144670
21/05/2020,8309,28,235,1,1150,145820
22/05/2020,8332,23,235,0,3348,149168
23/05/2020,8346,14,235,0,1042,150210
24/05/2020,8352,6,235,0,901,151111
25/05/2020,8364,12,235,0,4076,155187
26/05/2020,8383,19,235,0,3458,158645
27/05/2020,8401,18,235,0,3290,161935
28/05/2020,8411,10,236,1,2787,164722
29/05/2020,8422,11,236,0,2595,167317
30/05/2020,8437,15,236,0,,
31/05/2020,8440,3,236,0,636,167953
01/06/2020,8446,6,236,0,746,168699
02/06/2020,8455,9,237,1,3850,172549
03/06/2020,8477,22,237,0,3139,175688
04/06/2020,8504,27,238,1,2930,178618
05/06/2020,8522,18,238,0,2935,181553
06/06/2020,8531,9,238,0,952,182505
07/06/2020,8547,16,238,0,949,183454
08/06/2020,8561,14,239,1,5755,189209
09/06/2020,8576,15,239,0,5662,194871
10/06/2020,8594,18,239,0,4562,199433
